Sorszám;Ut;Azonosito;Kezdo;Veg;Hossz;Tipus;Szorzo;
347;3;3u17k534m;17 + 534;18 + 428;883;főúti;1;
348;3;3u22k810m;22 + 810;25 + 058;2248;főúti;0.338;
349;3;3u25k058m;25 + 058;25 + 636;560;főúti;0;
350;3;3u25k636m;25 + 636;27 + 430;1768;főúti;0.027;
351;3;3u27k469m;27 + 430;27 + 797;364;főúti;0.915;
352;3;3u32k851m;32 + 851;33 + 244;396;főúti;1;
353;3;3u33k244m;33 + 244;34 + 789;1546;főúti;0.406;
354;3;3u34k789m;34 + 789;35 + 477;688;főúti;0;
355;3;3u35k477m;35 + 477;36 + 846;1373;főúti;0;
356;3;3u36k846m;36 + 846;37 + 321;475;főúti;0;
357;3;3u37k321m;37 + 321;38 + 077;756;főúti;0;
358;3;3u38k077m;38 + 077;39 + 190;1113;főúti;0;
359;3;3u39k190m;39 + 190;41 + 092;1903;főúti;0.511;
360;3;3u41k092m;41 + 092;41 + 377;288;főúti;0.878;
361;3;3u44k729m;44 + 729;46 + 618;1887;főúti;0.39;
362;3;3u46k618m;46 + 618;53 + 672;7057;főúti;0.058;
363;3;3u53k672m;53 + 672;55 + 438;1766;főúti;1;
364;3;3u60k734m;60 + 734;61 + 580;840;főúti;0.877;
365;3;3u61k580m;61 + 580;65 + 136;3549;főúti;0;
366;3;3u68k255m;68 + 255;72 + 988;4733;főúti;0.035;
367;3;3u72k988m;72 + 988;73 + 620;634;főúti;0;
368;3;3u73k620m;73 + 620;77 + 056;3433;főúti;0;
369;3;3u77k056m;77 + 056;79 + 647;2590;főúti;0;
370;3;3u82k866m;82 + 866;83 + 392;525;főúti;0;
371;3;3u83k392m;83 + 392;84 + 700;1314;főúti;0;
372;3;3u84k700m;84 + 700;89 + 348;4641;főúti;0.138;
373;3;3u89k348m;89 + 348;90 + 283;937;főúti;0.573;
374;3;3u90k283m;90 + 283;93 + 201;2918;főúti;0;
375;3;3u93k201m;93 + 201;93 + 956;755;főúti;0;
376;3;3u93k956m;93 + 956;97 + 906;3960;főúti;0.19;
377;3;3u97k906m;97 + 906;99 + 571;1670;főúti;0.959;
378;3;3u99k571m;99 + 571;108 + 502;8931;főúti;0;
379;3;3u108k502m;108 + 502;109 + 425;924;főúti;0;
380;3;3u110k910m;110 + 910;118 + 187;7282;főúti;0.206;
381;3;3u120k449m;120 + 449;122 + 245;1795;főúti;0;
382;3;3u122k245m;122 + 245;123 + 912;1678;főúti;0;
383;3;3u123k912m;123 + 912;127 + 100;3187;főúti;0.639;
384;3;3u127k100m;127 + 100;130 + 338;3233;főúti;0.034;
385;3;3u131k899m;131 + 899;136 + 243;4346;főúti;0.161;
386;3;3u136k243m;136 + 243;137 + 653;1415;főúti;0.976;
387;3;3u137k653m;137 + 653;138 + 986;1331;főúti;0.49;
388;3;3u138k986m;138 + 986;140 + 212;1226;főúti;0.881;
389;3;3u140k212m;140 + 212;142 + 426;2218;főúti;0;
390;3;3u142k426m;142 + 426;146 + 054;3634;főúti;0;
391;3;3u146k054m;146 + 054;148 + 857;2797;főúti;0;
392;3;3u148k857m;148 + 857;152 + 317;3460;főúti;0.454;
393;3;3u153k186m;153 + 186;153 + 338;155;főúti;0.975;
394;3;3u153k338m;153 + 338;157 + 755;4425;főúti;0.065;
395;3;3u157k755m;157 + 755;158 + 493;731;főúti;0.535;
396;3;3u159k621m;159 + 621;163 + 866;4245;főúti;0.186;
397;3;3u165k730m;165 + 730;166 + 540;809;főúti;0.196;
398;3;3u166k540m;166 + 540;171 + 320;4730;főúti;0.131;
399;3;3u172k429m;172 + 429;173 + 005;576;főúti;1;
400;3;3u173k005m;173 + 005;173 + 910;904;főúti;1;
401;3;3u175k881m;175 + 881;176 + 451;569;főúti;0.259;
402;3;3u176k451m;176 + 451;179 + 410;2960;főúti;0.305;
403;3;3u189k214m;189 + 214;189 + 709;496;főúti;0;
404;3;3u189k709m;189 + 709;190 + 370;642;főúti;0;
405;3;3u190k370m;190 + 370;191 + 518;1119;főúti;0.614;
406;3;3u191k518m;191 + 518;193 + 831;2307;főúti;0.346;
407;3;3u193k831m;193 + 831;195 + 004;1173;főúti;0.522;
408;3;3u195k004m;195 + 004;198 + 354;3355;főúti;0;
409;3;3u198k354m;198 + 354;198 + 815;456;főúti;0;
410;3;3u198k815m;198 + 815;199 + 655;840;főúti;0;
411;3;3u199k655m;199 + 655;200 + 908;1013;főúti;0.609;
412;3;3u203k590m;203 + 590;205 + 386;1798;főúti;0.099;
413;3;3u205k997m;205 + 997;209 + 451;3481;főúti;0.09;
414;3;3u209k451m;209 + 451;212 + 120;3545;főúti;0;
415;3;3u214k631m;214 + 631;216 + 110;1479;főúti;0.106;
416;3;3u216k110m;216 + 110;219 + 830;3718;főúti;0.333;
417;3;3u222k395m;222 + 395;222 + 642;239;főúti;0.772;
418;3;3u222k42m;222 + 42;222 + 395;353;főúti;0.932;
419;3;3u222k642m;222 + 642;223 + 172;519;főúti;0.882;
420;3;3u223k172m;223 + 172;227 + 152;3981;főúti;0.363;
421;3;3u227k152m;227 + 152;230 + 835;3682;főúti;0.126;
422;3;3u232k804m;232 + 804;233 + 343;539;főúti;0.096;
423;3;3u234k507m;234 + 507;234 + 692;180;főúti;0.374;
424;3;3u234k692m;234 + 692;240 + 552;5856;főúti;0;
425;3;3u240k552m;240 + 552;242 + 381;1851;főúti;0;
426;3;3u242k381m;242 + 381;243 + 644;1263;főúti;0;
427;3;3u245k762m;245 + 762;246 + 676;914;főúti;0;
428;3;3u248k46m;248 + 046;248 + 845;799;főúti;0.167;
429;4;4u22k654m;22 + 654;25 + 372;2717;főúti;0.17;
430;4;4u28k870m;28 + 870;29 + 258;388;főúti;0;
431;4;4u31k174m;31 + 174;33 + 746;2572;főúti;0;
432;4;4u35k111m;35 + 111;35 + 320;209;főúti;0.999;
433;4;4u35k320m;35 + 320;36 + 631;1310;főúti;0.979;
434;4;4u36k631m;36 + 631;40 + 126;3495;főúti;0.359;
435;4;4u40k126m;40 + 126;41 + 852;1721;főúti;1;
436;4;4u43k374m;43 + 374;44 + 662;1288;főúti;0;
437;4;4u44k662m;44 + 662;45 + 557;894;főúti;0.97;
438;4;4u47k200m;47 + 200;50 + 500;3305;főúti;0.448;
439;4;4u50k500m;50 + 500;50 + 875;370;főúti;1;
440;4;4u54k136m;54 + 136;57 + 676;3534;főúti;0.337;
441;4;4u60k540m;60 + 540;67 + 574;7032;főúti;0.156;
442;4;4u71k970m;71 + 970;80 + 771;8807;főúti;0.069;
443;4;4u80k771m;80 + 771;84 + 542;3767;főúti;0;
444;4;4u88k801m;88 + 801;93 + 703;4902;főúti;0.095;
445;4;4u93k703m;93 + 703;98 + 558;6982;főúti;0.104;
446;4;4u98k558m;98 + 558;101 + 950;3516;főúti;0.296;
447;4;4u101k950m;101 + 950;103 + 1880;3067;főúti;0.53;
448;4;4u103k1880m;103 + 1880;105 + 470;2647;főúti;0;
449;4;4u105k470m;105 + 470;107 + 875;2426;főúti;0.71;
450;4;4u107k875m;107 + 875;112 + 112;4241;főúti;0.348;
451;4;4u112k112m;112 + 112;112 + 588;476;főúti;0;
452;4;4u112k588m;112 + 588;113 + 077;488;főúti;0;
453;4;4u113k77m;113 + 077;119 + 1077;6985;főúti;0.123;
454;4;4u119k1077m;119 + 1077;120 + 250;430;főúti;0;
455;4;4u120k250m;120 + 250;123 + 547;3320;főúti;0.236;
456;4;4u123k547m;123 + 547;126 + 180;2633;főúti;0;
457;4;4u128k511m;128 + 511;128 + 716;205;főúti;1;
458;4;4u128k716m;128 + 716;129 + 357;643;főúti;1;
459;4;4u129k357m;129 + 357;138 + 484;9146;főúti;0.075;
460;4;4u140k441m;140 + 441;141 + 265;894;főúti;0.607;
461;4;4u141k265m;141 + 265;151 + 191;9937;főúti;0;
462;4;4u151k191m;151 + 191;156 + 013;4049;főúti;0;
463;4;4u156k13m;156 + 013;163 + 592;7537;főúti;0;
464;4;4u163k592m;163 + 592;164 + 853;1245;főúti;0.072;
465;4;4u164k853m;164 + 853;174 + 889;10110;főúti;0.08;
466;4;4u174k889m;174 + 889;179 + 426;4494;főúti;0.378;
467;4;4u179k426m;179 + 426;181 + 016;1589;főúti;0.87;
468;4;4u181k16m;181 + 016;183 + 295;2282;főúti;0;
469;4;4u183k295m;183 + 295;184 + 231;936;főúti;0;
470;4;4u184k231m;184 + 231;184 + 771;480;főúti;0;
471;4;4u184k771m;184 + 771;188 + 192;3480;főúti;0;
472;4;4u188k192m;188 + 192;190 + 278;2092;főúti;0.235;
473;4;4u190k278m;190 + 278;190 + 636;358;főúti;0.897;
474;4;4u190k636m;190 + 636;192 + 996;2358;főúti;0.214;
475;4;4u192k996m;192 + 996;194 + 165;1170;főúti;0;
476;4;4u194k165m;194 + 165;197 + 968;3803;főúti;0;
477;4;4u197k968m;197 + 968;200 + 660;2692;főúti;0;
478;4;4u200k660m;200 + 660;204 + 995;4329;főúti;0;
479;4;4u204k995m;204 + 995;209 + 2818;6872;főúti;0;
480;4;4u209k2818m;209 + 2818;211 + 932;3682;főúti;0.529;
481;4;4u216k775m;216 + 775;219 + 523;2582;főúti;0;
482;4;4u219k523m;219 + 523;221 + 794;2263;főúti;0.351;
483;4;4u228k385m;228 + 385;229 + 257;886;főúti;1;
484;4;4u229k257m;229 + 257;231 + 079;1822;főúti;0.294;
485;4;4u231k79m;231 + 079;232 + 883;1787;főúti;0.061;
486;4;4u232k883m;232 + 883;233 + 318;451;főúti;1;
487;4;4u233k318m;233 + 318;235 + 439;2104;főúti;0.242;
488;4;4u235k439m;235 + 439;237 + 453;2053;főúti;0.311;
489;4;4u239k120m;239 + 120;241 + 208;2085;főúti;0.784;
490;4;4u241k208m;241 + 208;243 + 044;1904;főúti;0.965;
491;4;4u243k44m;243 + 044;243 + 738;691;főúti;1;
492;4;4u243k738m;243 + 738;246 + 429;2694;főúti;0.629;
493;4;4u246k429m;246 + 429;253 + 312;6870;főúti;0.273;
494;4;4u253k312m;253 + 312;258 + 409;5116;főúti;0.116;
495;4;4u260k2m;260 + 002;261 + 568;1554;főúti;0.017;
496;4;4u261k568m;261 + 568;265 + 510;3859;főúti;0.088;
497;4;4u265k510m;265 + 510;266 + 715;1201;főúti;1;
498;4;4u266k715m;266 + 715;268 + 140;1447;főúti;0.326;
499;4;4u268k140m;268 + 140;268 + 762;621;főúti;0;
500;4;4u268k762m;268 + 762;270 + 624;1876;főúti;0.217;
501;4;4u277k822m;277 + 822;281 + 285;3505;főúti;0.431;
502;4;4u281k285m;281 + 285;282 + 792;1493;főúti;0.532;
503;4;4u282k792m;282 + 792;285 + 210;2473;főúti;0.479;
504;4;4u286k755m;286 + 755;287 + 405;612;főúti;0.541;
505;4;4u287k405m;287 + 405;290 + 327;2914;főúti;0;
506;4;4u290k327m;290 + 327;292 + 766;2491;főúti;0.441;
507;4;4u292k766m;292 + 766;295 + 464;2482;főúti;0.017;
508;4;4u295k464m;295 + 464;296 + 495;1020;főúti;0.528;
509;4;4u296k495m;296 + 495;298 + 426;1935;főúti;0;
510;4;4u298k426m;298 + 426;300 + 483;1746;főúti;0;
511;4;4u300k483m;300 + 483;304 + 028;3579;főúti;0.369;
512;4;4u304k28m;304 + 028;306 + 441;2420;főúti;0.058;
513;4;4u306k441m;306 + 441;313 + 010;6482;főúti;0.036;
514;4;4u313k10m;313 + 010;316 + 456;3446;főúti;0.294;
515;4;4u316k456m;316 + 456;319 + 471;3033;főúti;0.246;
516;4;4u319k471m;319 + 471;321 + 201;1712;főúti;0;
517;4;4u321k201m;321 + 201;323 + 400;2215;főúti;0.534;
518;4;4u323k400m;323 + 400;327 + 599;4179;főúti;0.519;
519;4;4u327k599m;327 + 599;328 + 618;1053;főúti;0.618;
520;4;4u328k618m;328 + 618;332 + 351;3745;főúti;0.733;
521;4;4u332k351m;332 + 351;333 + 121;758;főúti;1;
522;4;4u333k121m;333 + 121;336 + 780;3665;főúti;0.531;
523;4;4u336k780m;336 + 780;340 + 637;3873;főúti;0.133;
524;4;4u340k637m;340 + 637;340 + 784;140;főúti;0.998;
525;4;4u341k626m;341 + 626;341 + 988;602;főúti;0;
526;5;5u19k250m;19 + 250;23 + 145;4010;főúti;0.215;
527;5;5u26k90m;26 + 90;28 + 516;2400;főúti;0;
528;5;5u28k516m;28 + 516;31 + 606;3138;főúti;0;
529;5;5u31k606m;31 + 606;36 + 417;4777;főúti;0;
530;5;5u36k417m;36 + 417;36 + 722;325;főúti;0.677;
531;5;5u42k1224m;42 + 1224;45 + 034;1831;főúti;0.267;
532;5;5u45k34m;45 + 034;47 + 745;2715;főúti;0.305;
533;5;5u47k745m;47 + 745;49 + 468;1717;főúti;0;
534;5;5u49k468m;49 + 468;49 + 905;443;főúti;0;
535;5;5u49k905m;49 + 905;51 + 983;2049;főúti;0.296;
536;5;5u54k603m;54 + 603;57 + 986;3375;főúti;0.218;
537;5;5u59k212m;59 + 212;61 + 830;2624;főúti;0.055;
538;5;5u62k173m;62 + 173;66 + 305;4212;főúti;0;
539;5;5u70k227m;70 + 227;74 + 40;3818;főúti;0;
540;5;5u74k281m;74 + 281;74 + 792;511;főúti;0;
541;5;5u74k40m;74 + 40;74 + 281;240;főúti;0;
542;5;5u74k792m;74 + 792;75 + 91;330;főúti;0;
543;5;5u75k91m;75 + 91;80 + 867;5936;főúti;0.19;
544;5;5u80k867m;80 + 867;82 + 004;1128;főúti;0;
545;5;5u90k782m;90 + 782;91 + 548;781;főúti;0;
546;5;5u91k548m;91 + 548;93 + 150;1603;főúti;0;
547;5;5u93k150m;93 + 150;96 + 464;3336;főúti;0;
548;5;5u96k464m;96 + 464;98 + 422;1959;főúti;0.379;
549;5;5u98k422m;98 + 422;101 + 298;2963;főúti;0.307;
550;5;5u101k298m;101 + 298;103 + 044;1735;főúti;0;
551;5;5u103k44m;103 + 044;103 + 787;737;főúti;0;
552;5;5u103k787m;103 + 787;104 + 408;621;főúti;0;
553;5;5u104k408m;104 + 408;105 + 361;962;főúti;0;
554;5;5u105k361m;105 + 361;106 + 507;1152;főúti;0;
555;5;5u106k507m;106 + 507;108 + 467;1961;főúti;0;
556;5;5u108k467m;108 + 467;108 + 717;248;főúti;0;
557;5;5u108k717m;108 + 717;110 + 273;1547;főúti;0;
558;5;5u110k273m;110 + 273;110 + 783;509;főúti;0;
559;5;5u115k155m;115 + 155;121 + 802;6690;főúti;0.066;
560;5;5u121k802m;121 + 802;125 + 145;3344;főúti;0;
561;5;5u125k145m;125 + 145;131 + 445;6292;főúti;0;
562;5;5u131k445m;131 + 445;133 + 603;3430;főúti;0;
563;5;5u133k603m;133 + 603;138 + 777;5200;főúti;0;
564;5;5u142k105m;142 + 105;146 + 410;4323;főúti;0.383;
565;5;5u147k490m;147 + 490;152 + 732;5234;főúti;0.058;
566;5;5u152k732m;152 + 732;155 + 851;3129;főúti;0;
567;5;5u155k851m;155 + 851;158 + 865;3017;főúti;0;
568;5;5u158k865m;158 + 865;159 + 975;1101;főúti;0;
569;5;5u159k975m;159 + 975;161 + 465;1499;főúti;0;
570;5;5u161k465m;161 + 465;162 + 612;1078;főúti;0;
571;5;5u162k612m;162 + 612;164 + 054;1450;főúti;0;
572;5;5u164k54m;164 + 054;165 + 074;1019;főúti;0.742;
573;5;5u173k593m;173 + 593;174 + 851;1250;főúti;0.479;
574;5;5u174k851m;174 + 851;178 + 674;3830;főúti;0;
575;5;5u178k674m;178 + 674;181 + 786;3126;főúti;0;
576;5;5u181k786m;181 + 786;183 + 369;1598;főúti;0;
577;5;5u183k369m;183 + 369;183 + 724;354;főúti;0;
578;5;5u183k724m;183 + 724;184 + 430;863;főúti;0;
579;5;5u184k430m;184 + 430;185 + 401;1088;főúti;0;
580;6;6u18k12m;18 + 012;18 + 609;598;főúti;1;
581;6;6u20k432m;20 + 432;22 + 619;2213;főúti;0.881;
582;6;6u22k619m;22 + 619;22 + 959;323;főúti;0;
583;6;6u22k959m;22 + 959;23 + 896;1224;főúti;0;
584;6;6u23k896m;23 + 896;25 + 487;1588;főúti;0;
585;6;6u25k487m;25 + 487;29 + 522;4074;főúti;0;
586;6;6u29k522m;29 + 522;34 + 120;4718;főúti;0.039;
587;6;6u36k530m;36 + 530;37 + 110;578;főúti;0.392;
588;6;6u37k110m;37 + 110;48 + 282;11165;főúti;0.115;
589;6;6u48k282m;48 + 282;50 + 199;1914;főúti;0.503;
590;6;6u50k199m;50 + 199;51 + 408;1212;főúti;0.805;
591;6;6u51k408m;51 + 408;59 + 023;7605;főúti;0.027;
592;6;6u59k23m;59 + 023;60 + 617;1599;főúti;0.425;
593;6;6u60k617m;60 + 617;62 + 050;1311;főúti;0;
594;6;6u62k50m;62 + 050;65 + 637;3627;főúti;0.374;
595;6;6u65k637m;65 + 637;68 + 028;2391;főúti;0.949;
596;6;6u68k28m;68 + 028;68 + 992;966;főúti;0.97;
597;6;6u68k992m;68 + 992;70 + 455;1451;főúti;0.539;
598;6;6u70k455m;70 + 455;72 + 1060;2389;főúti;0.101;
599;6;6u72k1060m;72 + 1060;76 + 233;3562;főúti;0;
600;6;6u76k233m;76 + 233;77 + 324;1172;főúti;0;
601;6;6u77k324m;77 + 324;81 + 302;4077;főúti;0;
602;6;6u81k302m;81 + 302;85 + 130;3866;főúti;0.237;
603;6;6u85k130m;85 + 130;87 + 080;2011;főúti;0.991;
604;6;6u87k80m;87 + 080;88 + 058;1059;főúti;0.983;
605;6;6u89k413m;89 + 413;89 + 547;137;főúti;0.286;
606;6;6u89k547m;89 + 547;90 + 041;528;főúti;0;
607;6;6u90k41m;90 + 041;97 + 476;7401;főúti;0;
608;6;6u97k476m;97 + 476;104 + 260;6777;főúti;0.04;
609;6;6u104k260m;104 + 260;105 + 050;804;főúti;1;
610;6;6u105k50m;105 + 050;107 + 850;2781;főúti;0.635;
611;6;6u108k962m;108 + 962;111 + 560;2606;főúti;0.684;
612;6;6u111k560m;111 + 560;120 + 273;8709;főúti;0.166;
613;6;6u120k273m;120 + 273;122 + 025;1737;főúti;0.928;
614;6;6u122k25m;122 + 025;123 + 900;1906;főúti;0;
615;6;6u123k900m;123 + 900;130 + 679;6801;főúti;0;
616;6;6u130k679m;130 + 679;131 + 974;1282;főúti;0;
617;6;6u131k974m;131 + 974;135 + 539;3682;főúti;0.364;
618;6;6u135k539m;135 + 539;135 + 861;230;főúti;0;
619;6;6u135k861m;135 + 861;137 + 300;1474;főúti;0;
620;6;6u137k300m;137 + 300;139 + 086;1757;főúti;0;
621;6;6u139k1049m;139 + 1049;140 + 256;364;főúti;0;
622;6;6u139k86m;139 + 086;139 + 1049;938;főúti;0;
623;6;6u140k256m;140 + 256;140 + 764;386;főúti;0;
624;6;6u140k764m;140 + 764;142 + 792;2280;főúti;0;
625;6;6u142k792m;142 + 792;149 + 783;6999;főúti;0.004;
626;6;6u150k764m;150 + 764;156 + 982;6221;főúti;0.059;
627;6;6u157k616m;157 + 616;159 + 928;2327;főúti;0.808;
628;6;6u159k928m;159 + 928;162 + 072;2116;főúti;0.17;
629;6;6u162k72m;162 + 072;163 + 107;1110;főúti;1;
630;6;6u163k331m;163 + 331;166 + 840;3448;főúti;0.087;
631;6;6u168k200m;168 + 200;169 + 030;846;főúti;1;
632;6;6u169k30m;169 + 030;171 + 970;2915;főúti;0.58;
633;6;6u171k970m;171 + 970;173 + 185;1215;főúti;0;
634;6;6u173k185m;173 + 185;174 + 585;1398;főúti;0;
635;6;6u174k585m;174 + 585;176 + 890;2304;főúti;0.473;
636;6;6u176k890m;176 + 890;177 + 550;652;főúti;1;
637;6;6u177k550m;177 + 550;178 + 745;1205;főúti;0.68;
638;6;6u178k745m;178 + 745;180 + 845;2103;főúti;0;
639;6;6u180k845m;180 + 845;184 + 185;3334;főúti;0;
640;6;6u184k185m;184 + 185;186 + 820;2617;főúti;0.16;
641;6;6u186k820m;186 + 820;187 + 047;235;főúti;1;
642;6;6u187k390m;187 + 390;188 + 385;982;főúti;1;
643;6;6u188k385m;188 + 385;189 + 165;786;főúti;0.105;
644;6;6u189k165m;189 + 165;192 + 301;3148;főúti;0;
645;6;6u202k224m;202 + 224;203 + 394;1189;főúti;0.557;
646;6;6u203k394m;203 + 394;206 + 250;2865;főúti;0.504;
647;6;6u206k250m;206 + 250;209 + 630;3370;főúti;0;
648;6;6u209k630m;209 + 630;211 + 160;1541;főúti;0;
649;6;6u211k160m;211 + 160;213 + 274;2113;főúti;0;
650;6;6u213k274m;213 + 274;216 + 366;3092;főúti;0.34;
651;6;6u217k767m;217 + 767;218 + 177;411;főúti;0;
652;6;6u217k84m;217 + 084;217 + 767;684;főúti;0.413;
653;6;6u218k177m;218 + 177;218 + 828;652;főúti;0.514;
654;6;6u219k617m;219 + 617;221 + 400;1775;főúti;0;
655;6;6u221k400m;221 + 400;221 + 580;184;főúti;0;
656;6;6u221k580m;221 + 580;223 + 680;2101;főúti;0;
657;6;6u224k184m;224 + 184;226 + 099;1918;főúti;0.472;
658;6;6u226k499m;226 + 499;227 + 865;1401;főúti;0.194;
659;6;6u227k865m;227 + 865;229 + 505;1638;főúti;0;
660;6;6u234k175m;234 + 175;236 + 240;2063;főúti;0.152;
661;6;6u236k240m;236 + 240;238 + 078;1835;főúti;0;
662;6;6u238k78m;238 + 078;239 + 266;1189;főúti;0;
663;6;6u239k932m;239 + 932;242 + 804;2944;főúti;0;
664;6;6u243k20m;243 + 020;243 + 767;753;főúti;1;
665;6;6u244k14m;244 + 014;245 + 957;2586;főúti;0.031;
666;6;6u246k316m;246 + 316;249 + 840;3510;főúti;0.027;
667;6;6u249k840m;249 + 840;250 + 376;551;főúti;0.258;
668;6;6u251k742m;251 + 742;257 + 028;5289;főúti;0.06;
669;6;6u257k28m;257 + 028;258 + 726;1677;főúti;0;
670;6;6u258k726m;258 + 726;261 + 572;2831;főúti;0.54;
671;6;6u261k572m;261 + 572;262 + 293;765;főúti;0.971;
672;7;7u17k4257m;17 + 4257;17 + 4551;342;főúti;0;
673;7;7u17k4615m;17 + 4615;23 + 690;2288;főúti;0.331;
674;7;7u23k690m;23 + 690;24 + 996;1311;főúti;1;
675;7;7u24k996m;24 + 996;30 + 891;5880;főúti;0.132;
676;7;7u33k707m;33 + 707;35 + 742;2030;főúti;0.321;
677;7;7u37k525m;37 + 525;40 + 763;3210;főúti;0.241;
678;7;7u40k763m;40 + 763;44 + 860;4096;főúti;0.468;
679;7;7u44k860m;44 + 860;45 + 428;619;főúti;0.999;
680;7;7u45k428m;45 + 428;45 + 896;466;főúti;1;
681;7;7u54k975m;54 + 975;57 + 030;2043;főúti;0.275;
682;7;7u57k30m;57 + 030;60 + 121;3097;főúti;0;
683;7;7u60k121m;60 + 121;60 + 510;389;főúti;0;
684;7;7u60k510m;60 + 510;61 + 963;1453;főúti;0.386;
685;7;7u67k20m;67 + 020;68 + 701;1680;főúti;0.867;
686;7;7u68k701m;68 + 701;69 + 745;1040;főúti;0.692;
687;7;7u69k745m;69 + 745;70 + 610;881;főúti;0.36;
688;7;7u71k70m;71 + 070;74 + 200;2903;főúti;0.593;
689;7;7u74k200m;74 + 200;78 + 093;4079;főúti;0.537;
690;7;7u78k5948m;78 + 5948;79 + 656;1504;főúti;0.168;
691;7;7u78k93m;78 + 093;78 + 3560;2670;főúti;0.311;
692;7;7u81k765m;81 + 765;84 + 437;2650;főúti;0.269;
693;7;7u84k437m;84 + 437;85 + 500;1063;főúti;0.897;
694;7;7u86k761m;86 + 761;87 + 520;734;főúti;0.947;
695;7;7u87k520m;87 + 520;92 + 870;5390;főúti;0;
696;7;7u95k177m;95 + 177;96 + 624;1464;főúti;0.427;
697;7;7u96k624m;96 + 624;98 + 082;1440;főúti;0;
698;7;7u98k82m;98 + 082;99 + 483;1455;főúti;0;
699;7;7u99k483m;99 + 483;101 + 179;1669;főúti;0;
700;7;7u101k179m;101 + 179;105 + 252;3898;főúti;0;
701;7;7u105k252m;105 + 252;107 + 213;1978;főúti;0;
702;7;7u107k213m;107 + 213;107 + 358;172;főúti;0.287;
703;7;7u108k228m;108 + 228;109 + 496;1267;főúti;0.134;
704;7;7u109k496m;109 + 496;110 + 406;908;főúti;0.855;
705;7;7u112k2531m;112 + 2531;112 + 4680;2155;főúti;0.469;
706;7;7u112k4680m;112 + 4680;112 + 7464;2771;főúti;0;
707;7;7u112k7492m;112 + 7492;113 + 120;734;főúti;0.235;
708;7;7u113k137m;113 + 137;113 + 281;172;főúti;0.859;
709;7;7u115k17m;115 + 017;117 + 680;2659;főúti;0.039;
710;7;7u121k588m;121 + 588;123 + 298;1708;főúti;0.144;
711;7;7u123k298m;123 + 298;124 + 003;701;főúti;0.588;
712;7;7u125k159m;125 + 159;127 + 350;2161;főúti;0.291;
713;7;7u127k350m;127 + 350;127 + 730;409;főúti;0;
714;7;7u127k911m;127 + 911;128 + 721;811;főúti;0.879;
715;7;7u129k792m;129 + 792;132 + 129;2313;főúti;0.467;
716;7;7u132k129m;132 + 129;133 + 934;1820;főúti;0;
717;7;7u141k669m;141 + 669;142 + 855;1184;főúti;0;
718;7;7u142k855m;142 + 855;144 + 859;2077;főúti;0;
719;7;7u155k889m;155 + 889;156 + 810;909;főúti;1;
720;7;7u156k810m;156 + 810;162 + 738;5936;főúti;0.062;
721;7;7u165k2m;165 + 002;167 + 600;2603;főúti;0;
722;7;7u167k600m;167 + 600;172 + 695;5206;főúti;0;
723;7;7u172k695m;172 + 695;173 + 733;998;főúti;0;
724;7;7u173k733m;173 + 733;175 + 398;1735;főúti;0;
725;7;7u175k398m;175 + 398;177 + 608;2204;főúti;0;
726;7;7u177k608m;177 + 608;177 + 950;340;főúti;0;
727;7;7u178k255m;178 + 255;179 + 588;1343;főúti;0.61;
728;7;7u179k588m;179 + 588;183 + 704;4118;főúti;0;
729;7;7u183k704m;183 + 704;188 + 294;4577;főúti;0;
730;7;7u188k294m;188 + 294;188 + 692;432;főúti;0;
731;7;7u190k745m;190 + 745;193 + 391;2641;főúti;0.038;
732;7;7u193k391m;193 + 391;195 + 696;2308;főúti;0.315;
733;7;7u195k696m;195 + 696;199 + 581;3888;főúti;0.031;
734;7;7u199k581m;199 + 581;201 + 720;2131;főúti;0.02;
735;7;7u201k720m;201 + 720;204 + 114;2437;főúti;0.089;
736;7;7u204k114m;204 + 114;206 + 318;2258;főúti;0.492;
737;7;7u206k318m;206 + 318;206 + 698;419;főúti;0.88;
738;7;7u208k224m;208 + 224;209 + 320;1114;főúti;0.13;
739;7;7u209k320m;209 + 320;212 + 070;2770;főúti;0.367;
740;7;7u212k70m;212 + 070;213 + 922;1149;főúti;0.383;
741;7;7u214k400m;214 + 400;216 + 436;2043;főúti;0.486;
742;7;7u216k436m;216 + 436;216 + 920;494;főúti;1;
743;7;7u216k920m;216 + 920;218 + 230;1317;főúti;0.306;
744;7;7u218k230m;218 + 230;220 + 393;2158;főúti;0;
745;7;7u220k393m;220 + 393;221 + 590;1190;főúti;0;
746;7;7u221k949m;221 + 949;222 + 385;433;főúti;0;
747;7;7u222k385m;222 + 385;222 + 595;209;főúti;0;
748;7;7u226k200m;226 + 200;228 + 290;2087;főúti;0.018;
749;7;7u231k54m;231 + 054;232 + 305;1241;főúti;0.435;
750;7;7u232k305m;232 + 305;233 + 476;1200;főúti;0;
751;8;8u0k0m;0 + 000;2 + 654;2975;főúti;0.551;
752;8;8u2k5011m;2 + 5011;14 + 673;6969;főúti;0;
753;8;8u14k1000m;14 + 1000;16 + 041;877;főúti;0;
754;8;8u16k41m;16 + 041;17 + 811;1674;főúti;0;
755;8;8u17k811m;17 + 811;22 + 826;5504;főúti;0.304;
756;8;8u22k826m;22 + 826;23 + 204;377;főúti;0;
757;8;8u23k204m;23 + 204;24 + 077;876;főúti;0;
758;8;8u24k720m;24 + 720;31 + 250;6613;főúti;0.649;
